MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,AP_DIFF,SEMIMINOR_AXIS,ORBITAL_VELOCITY,TARGET,RCS_SIZE_MEDIUM,RCS_SIZE_SMALL
7.21996208,0.4162971,34.9591,338.1274,33.9441,346.8526,50134,0.00038294,0.00016922,0.0,11307.812,199.447,9637.086,222.267,9414.819,10281.386555581705,5.937171555908532,1,0,1
14.32372833,0.0009612,71.0,342.1058,342.2843,192.4746,48659,0.00028894,7.32e-06,0.0,7161.947,100.532,790.696,776.928,13.768000000000027,7161.943691518339,7.460249229129077,1,0,1
2.05717978,0.6726028,64.7735,235.1367,356.1029,0.4689,18287,0.0,3.59e-06,0.0,26114.818,699.987,37301.583,2171.783,35129.8,19325.06189927535,3.9068378459133166,1,1,0
14.47925178,0.0092353,71.1117,170.0689,310.9606,61.262,48915,0.0012873,4.988e-05,0.0,7110.57,99.453,798.103,666.767,131.3359999999999,7110.266760552662,7.487152512799521,1,0,1
12.42326151,0.002798,73.5985,138.6665,137.2231,282.0502,98305,0.00048961,5e-07,0.0,7874.895,115.912,1518.794,1474.726,44.067999999999984,7874.864174434931,7.114534700562905,1,0,1
0.99267733,0.0002771,1.93,90.7547,20.2699,26.1234,3430,0.0,-2.43e-06,0.0,42448.574,1450.622,36082.202,36058.677,23.52499999999418,42448.572370305614,3.0643427163348247,0,0,0
2.13105276,0.0006005,63.1662,117.8923,194.9887,174.9909,15493,0.0,1.03e-06,0.0,25507.763,675.722,19144.945,19114.311,30.6339999999982,25507.75840094673,3.953053583913038,0,0,0
2.1310413,0.0042545,63.1702,117.8522,219.3699,119.0722,15502,0.0,1.04e-06,0.0,25507.854,675.726,19238.243,19021.196,217.04699999999863,25507.62314305291,3.953046532590787,0,0,0
2.13103153,0.0004552,63.1628,117.8421,49.0046,274.078,15500,0.0,1.05e-06,0.0,25507.932,675.729,19141.409,19118.186,23.222999999998137,25507.92935728832,3.953040488630319,0,0,0
2.13596069,0.0014679,63.1838,116.5283,268.1018,97.4995,15541,0.0,1.04e-06,0.0,25468.674,674.17,19127.925,19053.154,74.77100000000064,25468.646560922032,3.95608596926237,0,0,0
12.84001008,0.0007483,66.0423,2.4007,277.5037,255.2677,93174,0.00010173,-3.7e-07,0.0,7703.562,112.149,1331.192,1319.663,11.528999999999996,7703.559843183795,7.193215919441587,0,0,0
14.8837458,0.0002462,74.0744,14.7852,293.8881,66.2042,7914,5.6032e-05,4.82e-06,0.0,6981.151,96.75,604.734,601.297,3.437000000000012,6981.150788420717,7.556233536846526,0,0,0
12.84744913,0.0003541,66.0408,305.3696,300.503,231.7985,93341,0.00023562,-4e-08,0.0,7700.588,112.085,1325.18,1319.726,5.453999999999951,7700.587517223902,7.194604810722516,1,0,0
13.68854543,0.0013417,99.6471,86.2203,198.8066,171.9078,99380,3.0521e-05,-1.9e-07,0.0,7381.823,105.197,1013.592,993.784,19.808,7381.816355769861,7.348303311027156,0,0,0
